SUM of OBS_VALUE,TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Island Countries and territories,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
Niue,-0.1,-0.4,0,0.7,0.4,-0.2,0,-0.3,-0.2,0.2,0,-0.4,-0.2,-0.3,0,0,-0.1,0,0.2,0.1,0.1,0.4,0.3,-0.1,0.3,0.2,0.2,-0.3,-0.2,0.1,0.1,0.1,0.2,-0.4,-0.5,-0.8,-0.5,-0.3,-0.5,-0.2,-0.2,-0.4,-0.2,-0.5,-0.2,-0.1,-0.6,-0.4,0,0.1,-0.1,0.4,-0.7,-0.2,-0.4,-0.7,0,-0.5,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.2,-0.1,0.2,-0.3,-0.4,-0.9,-0.5,-0.4,0,-0.4,0,-0.3,-0.5,-0.2,-0.3,-0.3,-0.6,-0.5,-0.1,-0.5,-0.4,-0.4,-0.2,-0.3,-0.2,-0.4,-0.3,-0.1,0.3,0.5,0.4,0.2,0.3,0.2,-0.2,-0.1,0.2,0,0.3,0.1,0.1,-0.1,0,-0.2,-0.2,0.1,0,0.2,-0.1,0,0,-0.3,-0.1,-0.2,0.2,0.1,0.2,0.1,-0.1,0.4,0.1,0,-0.2,-0.3,-0.1,-0.1,0.1,-0.1,-0.1,-0.3,0,-0.2,-0.3,-0.4,0.3,0,0,0.3,0.2,0,0.1,0.3,0.3,-0.2,-0.3,0.4,0.5,0.2,0.4,0.4,0.6,0.6,0.5,0.5,0.3,0.4,0.7,0.5,0.4,0.6,0.6,0.1,0.4,0.8,0.6,0.7,0.7,0.7,0.7,0.5,0.6,0.5,-3.4
Northern Mariana Islands,-0.4,0.2,0.1,-0.2,-0.1,-0.6,-0.3,-0.1,-0.5,0.1,-0.3,-0.6,-0.6,-0.4,-0.4,-0.1,-0.1,-0.3,-0.3,0.2,0.3,-0.2,0,0,-0.2,-0.1,0.1,-0.1,0.4,0.1,-0.8,-0.1,-0.1,-0.6,-0.4,-0.8,-0.4,0.1,0,0.1,0.1,0.1,0.3,-0.2,0,0.1,0.3,0.6,0.2,-0.5,-0.1,0,-0.3,-0.7,-0.6,-0.5,-0.3,-0.5,-0.3,-0.4,-0.2,-0.6,-0.6,-0.6,-0.7,-0.5,-0.4,-0.5,-0.7,-0.6,-0.8,-0.2,-0.3,-0.7,-0.3,-0.4,-0.3,-0.2,-0.6,-0.4,-0.5,-0.2,-0.5,-0.4,-0.4,-0.4,-0.4,-0.3,-0.2,-0.3,-0.4,0,-0.2,0.1,0.2,0.4,0.3,0,-0.1,-0.1,0,0.1,0,0,0,-0.2,-0.3,-0.3,-0.3,-0.2,0,0,-0.2,-0.2,-0.1,-0.4,-0.1,-0.1,-0.2,0,0.1,0,-0.6,-0.1,-0.1,0,-0.1,-0.2,-0.1,-0.2,-0.1,0.1,-0.2,-0.2,0.1,-0.1,-0.1,0,0.5,0.1,-0.2,-0.2,-0.3,-0.3,-0.1,0,0.3,0,0.2,0.6,0.4,0.6,0.3,0.3,0.1,0.2,0.1,0.4,0.6,0.4,0.2,0.3,0.2,0.4,0.4,0.2,0.5,0.8,0.6,0.7,0.8,0.8,0.7,0.6,0.6,0.9,-14.7
Palau,0,0,0,0.1,0.2,-0.5,0,-0.1,-0.6,0.1,-0.1,-0.6,-0.7,-0.1,-0.1,0,-0.1,-0.2,-0.2,0.3,0.2,-0.1,0.1,0.3,0,-0.2,0,0,0.4,0,-0.2,-0.1,-0.1,-0.6,-1,-0.5,-0.2,0.1,0,0.3,0.1,0.2,0,-0.1,-0.2,-0.1,-0.3,0.3,-0.1,-0.4,-0.1,-0.4,-0.6,-0.5,-0.7,-0.8,-0.4,-0.5,-0.3,-0.4,-0.3,-0.6,-0.7,-0.8,-0.6,-0.3,-0.2,-0.3,-1,-0.7,-0.7,-0.1,-0.2,-0.5,-0.4,-0.3,-0.4,-0.2,-0.4,-0.6,-0.5,-0.3,-0.5,-0.4,-0.5,-0.6,-0.5,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,0.1,0.1,0.3,0.2,-0.1,-0.3,-0.4,-0.2,-0.3,-0.4,-0.2,-0.1,-0.3,-0.3,-0.2,-0.5,-0.4,-0.1,-0.3,-0.3,-0.4,-0.1,-0.5,-0.4,-0.5,-0.3,-0.2,0,-0.2,-0.4,-0.1,-0.2,-0.2,-0.4,-0.2,-0.1,-0.2,-0.3,0.1,-0.1,-0.1,0,0,-0.1,-0.1,0.3,0.2,-0.2,-0.4,-0.2,-0.3,-0.1,0.2,0.3,0,0.4,0.3,0.3,0.3,0.1,0.1,0,0.2,0.2,0.2,0.2,0.3,0.7,0.4,0.4,0.6,0.5,0.2,0.6,0.7,0.5,0.3,0.8,0.8,0.8,0.8,0.9,0.9,-20.3
Papua New Guinea,-0.1,0.3,0.1,0.1,-0.2,-0.5,-0.4,-0.3,-0.5,-0.1,-0.4,-0.9,-0.5,-0.3,0,-0.2,-0.3,-0.4,-0.5,0,-0.2,-0.3,-0.2,-0.3,0,-0.1,-0.1,-0.3,0.3,-0.1,-0.2,-0.1,-0.1,-0.5,-0.7,-0.8,-0.3,-0.3,-0.7,-0.1,-0.2,-0.4,-0.2,-0.1,-0.3,-0.4,-0.4,-0.1,-0.5,-0.7,-0.1,-0.5,-1,-0.7,-0.9,-0.9,-0.5,-0.4,-0.4,-0.3,-0.3,-0.9,-0.6,-0.7,-0.8,-0.4,-0.3,-0.7,-0.9,-1,-0.7,-0.3,-0.4,-0.7,-0.4,-0.7,-0.4,-0.4,-0.4,-0.6,-0.6,-0.3,-0.6,-0.3,-0.3,-0.4,-0.4,-0.5,-0.3,-0.5,-0.6,-0.5,-0.2,-0.1,-0.2,-0.1,-0.4,-0.5,-0.6,-0.8,-0.3,-0.5,-0.4,-0.5,-0.4,-0.4,-0.1,-0.4,-0.2,-0.4,-0.3,-0.4,0,-0.2,-0.1,-0.8,-0.5,-0.5,-0.2,-0.1,0.1,-0.1,-0.5,0.1,-0.2,-0.1,-0.3,-0.3,0,-0.1,-0.2,0.1,-0.5,0,-0.1,0,0,-0.1,0.3,0.2,0,-0.1,-0.2,-0.4,-0.2,0.2,0.4,-0.2,0.6,0.2,0.2,0.3,0.3,0.3,0.1,0.3,0.1,0.3,0.2,0.4,0.7,0.3,0.2,0.4,0.2,0.2,0.8,0.7,0.5,0.2,0.7,0.7,0.9,0.6,1,1.1,-35.4
Pitcairn,0.1,-0.2,-0.1,-0.1,0.2,-0.4,0,0.2,-0.2,-0.3,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,-0.4,0.3,0.1,-0.5,-0.5,-0.3,-0.6,-0.6,-0.6,-0.4,-0.3,0.1,-0.1,0,-0.2,-0.2,-0.7,-0.5,0.1,-0.5,-0.4,-0.6,-0.5,-0.1,-0.1,-0.3,-0.3,-0.1,-0.1,-0.2,0.4,-0.1,-0.3,-0.1,-0.2,-0.4,-0.6,-0.4,-0.1,-0.2,-0.7,-0.7,-0.5,-0.8,-0.8,-0.9,-0.8,-0.2,-0.8,-0.1,-0.3,-0.2,-0.6,-0.4,-0.6,-0.8,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.5,-0.2,0.1,-0.2,0,-0.4,-0.3,-0.4,0,-0.3,-0.3,-0.3,-0.2,0.1,-0.1,-0.3,-0.1,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1,-0.3,-0.3,-0.2,0,-0.5,-0.4,-0.2,-0.1,-0.4,-0.5,-0.3,-0.3,-0.5,-0.2,-0.5,-0.3,-0.2,-0.1,-0.2,-0.1,-0.3,-0.3,-0.4,-0.5,-0.4,-0.5,-0.1,-0.1,0,-0.5,0.2,0.1,-0.1,0,-0.2,0,0.1,-0.1,-0.1,-0.4,0,0.3,-0.1,0.1,-0.2,0.4,0.3,0.5,0.8,0.1,0,0.1,0.4,0.2,0,0.1,0.1,0.1,0.1,0,-0.1,0,0.2,0.5,0.5,0.1,0.2,0.3,0.3,0.3,-0.1,0.6,-32
Samoa,0.1,-0.3,0,0.3,0.1,-0.2,-0.2,-0.5,-0.2,0.1,-0.3,-0.6,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.4,-0.1,-0.1,-0.5,-0.1,-0.2,-0.2,-0.2,-0.2,-0.4,-0.3,0.1,0,-0.4,-0.4,-0.5,-0.4,-0.4,-0.1,-0.2,-0.5,-0.4,-0.3,-0.7,-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,0.2,0.1,-0.4,-0.2,-0.6,-0.4,-0.3,-0.4,-0.5,-0.8,-0.9,-0.6,-0.3,-0.5,-0.3,-0.2,-0.5,-1.1,-0.6,-0.8,-0.5,-0.5,-0.2,-0.4,-0.2,-0.3,-0.2,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.6,-0.4,-0.4,-0.3,-0.3,-0.4,-0.6,0,0.1,0,-0.1,0.1,0.1,0.2,0.1,-0.2,-0.2,-0.4,-0.1,0,0.1,-0.1,-0.4,-0.4,-0.2,0,0.1,-0.1,0,-0.1,0,-0.2,-0.3,0.1,-0.3,-0.1,0.3,0,-0.3,-0.2,0,-0.4,-0.4,-0.4,0,0,0,0.2,-0.1,0,-0.2,0,-0.2,0,0,0.1,-0.2,0.1,0.4,0.2,0.1,0.3,0.3,0.1,-0.1,-0.2,0,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.5,0,0.4,0.4,0,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.3,0.2,0.6,0.8,0.5,-19.6
Solomon Islands,0.1,0.2,0.1,-0.2,-0.4,-0.4,-0.6,0.1,-0.2,0,-0.4,-1.1,-0.4,-0.3,-0.2,-0.2,0,-0.1,-0.2,0.2,-0.1,-0.2,-0.1,-0.1,0.1,-0.1,-0.2,-0.4,-0.1,-0.2,-0.4,0.3,0.2,-0.4,-0.6,-1,-0.7,-0.1,-0.4,-0.3,0,0.1,0,-0.1,-0.4,-0.3,-0.3,0,-0.3,-0.3,-0.1,-0.4,-1,-0.9,-0.7,-0.9,-0.7,-0.2,-0.3,-0.4,-0.3,-0.8,-0.7,-0.7,-0.8,-0.5,-0.3,-0.9,-0.9,-1.4,-0.9,-0.2,-0.1,-0.5,-0.3,-0.5,-0.6,-0.5,-0.4,-0.4,-0.6,-0.4,-0.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.4,-0.6,-0.6,-0.2,0.6,0.3,0.3,-0.2,-0.3,-0.4,-0.7,-0.3,-0.4,-0.4,-0.5,-0.4,-0.4,-0.1,-0.5,-0.5,-0.5,-0.3,-0.3,0,-0.1,-0.3,-0.9,-0.6,-0.3,-0.1,0.1,0.1,-0.1,-0.5,0,0,-0.2,-0.3,-0.2,-0.1,-0.1,-0.1,0.1,-0.3,-0.3,0,0.1,-0.1,-0.3,0.2,0.2,0.1,0.1,-0.4,-0.7,-0.2,0.4,0.4,-0.2,0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.5,0.3,0.6,0.3,0.4,0.5,0.5,0.3,0.4,0.5,0.1,0.7,0.8,0.6,0.5,0.8,0.6,0.8,0.6,0.9,1,-28.4
Tokelau,0,-0.3,-0.1,0,0,-0.1,-0.3,-0.7,-0.2,0.1,-0.4,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.7,-0.4,-0.3,-0.6,-0.4,-0.5,-0.3,0.1,-0.1,-0.6,-0.5,0,-0.1,-0.4,-0.3,-0.3,-0.6,-0.8,0.1,-0.1,-0.9,-0.5,-0.4,-0.8,-0.5,-0.3,-0.1,0,-0.5,-0.3,0.4,0.1,0,-0.1,-0.8,0,-0.3,-0.4,-0.6,-1,-1.1,-0.7,-0.2,-0.5,-0.2,-0.1,-0.9,-1.7,-0.5,-0.6,-0.3,-0.7,-0.4,-0.4,-0.4,-0.5,0,-0.5,-0.3,-0.3,-0.1,-0.1,-0.3,-0.7,-0.6,-0.5,-0.4,-0.4,-0.8,-0.7,0.3,0.5,0,-0.4,0,-0.2,0,0,-0.3,-0.3,-0.8,-0.2,0,0.1,-0.3,-0.8,-0.8,-0.1,0.3,0.1,-0.2,-0.3,-0.3,-0.1,-0.4,-0.1,0.2,-0.3,-0.1,0.4,-0.1,-0.7,0,-0.1,-0.8,-0.7,-0.5,0.2,0,0,0.2,-0.2,0.2,-0.1,-0.2,-0.3,0.1,0.5,0,-0.4,0.2,0.5,0.4,0.3,0.5,0.4,0,0.2,-0.1,-0.4,-0.3,0.1,0.5,0.6,0.5,0.4,0.4,0.3,-0.3,0.5,0.2,-0.4,0.2,0.3,0.5,0.9,0.7,0.5,0.5,0.8,0.5,0,-0.2,0.6,0.8,0.4,-30.8
Tonga,-0.2,-0.3,-0.1,0.4,0.1,-0.2,-0.2,0,-0.1,0.2,0.1,0,-0.1,0,0.1,0,0,0.2,0.1,0.1,0.2,0.4,0.3,0,0.3,0.2,0.2,-0.4,-0.2,0.3,0.1,0,0.1,-0.5,-0.7,-1,-0.6,-0.4,-0.7,-0.2,-0.2,-0.4,-0.3,-0.1,-0.3,-0.2,-0.6,-0.5,0,-0.1,-0.6,0,-0.9,-0.6,-0.6,-1,-0.3,-0.6,-0.6,-0.5,-0.3,-0.5,-0.6,-0.7,-0.5,-0.2,0.2,0,-0.4,-0.9,-0.5,-0.6,-0.2,-0.5,-0.1,-0.4,-0.6,-0.2,-0.5,-0.4,-0.8,-0.7,-0.3,-0.4,-0.5,-0.3,-0.2,-0.2,-0.2,-0.5,-0.6,-0.4,-0.1,0.3,0.3,0.1,0,0,-0.2,-0.1,0.1,-0.1,0.3,0.1,-0.1,0,0.1,-0.2,-0.3,-0.1,0,0.1,-0.1,-0.2,0,-0.4,-0.3,-0.2,0.1,-0.2,0.2,0.2,-0.1,0.4,0.3,0.2,0,-0.4,-0.3,-0.2,0,-0.1,-0.2,-0.3,0.1,-0.1,-0.4,-0.5,0.4,0.1,0,0,0,-0.3,-0.3,0.2,0.3,-0.2,-0.1,0.4,0.5,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.6,0.7,0.4,0.6,0.5,-0.1,0.4,0.6,0.5,0.5,0.7,0.8,1.1,0.5,0.6,0.6,-13
Tuvalu,0,-0.4,-0.1,-0.1,0,-0.2,-0.3,-0.5,-0.2,0.2,-0.2,-0.2,-0.1,0,0,0,0,0,0.1,0.2,-0.2,0,0,-0.3,-0.1,-0.3,-0.3,-0.2,-0.2,-0.5,-0.5,0.1,0.2,-0.3,-0.4,-0.4,-0.5,-0.5,-0.1,-0.4,-0.7,-0.4,-0.2,-0.6,-0.3,-0.3,-0.3,-0.1,-0.4,-0.3,0.1,0,-0.4,-0.3,-0.7,-0.3,-0.5,-0.4,-0.6,-0.8,-1.1,-0.7,-0.4,-0.6,-0.4,-0.3,-1,-1.5,-0.6,-0.9,-0.5,-0.5,-0.4,-0.4,-0.4,-0.5,-0.3,-0.6,-0.3,-0.3,-0.2,-0.2,-0.3,-0.7,-0.6,-0.4,-0.4,-0.4,-0.6,-0.5,0.1,0.3,0,-0.1,0.1,0,0.2,0,-0.3,-0.4,-0.7,-0.2,-0.2,-0.2,-0.5,-0.7,-0.6,-0.4,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,-0.6,-0.5,-0.1,-0.4,-0.3,0.3,-0.2,-0.6,-0.1,-0.2,-0.5,-0.7,-0.4,0.1,0,0.1,0.2,-0.1,0.1,-0.2,-0.1,-0.2,0,0.1,0,-0.2,0.3,0.4,0.2,0.1,0.3,0.4,0.1,0.1,-0.1,-0.2,-0.1,0.2,0.5,0.6,0.6,0.5,0.5,0.4,-0.1,0.4,0.2,-0.2,0.3,0.4,0.6,0.6,0.7,0.5,0.6,0.8,0.6,0.2,0,0.7,0.9,0.5,-27.5
Vanuatu,-0.4,0,-0.3,-0.6,-0.9,-0.7,-1,-0.1,-0.5,-0.3,-0.5,-0.6,-0.3,0,0.1,-0.1,0,0,-0.3,0,0,-0.2,-0.1,-0.1,-0.1,0,-0.2,-0.5,-0.2,0.1,-0.1,-0.2,-0.1,-0.4,-0.9,-1.1,-0.7,-0.4,-0.9,-0.4,-0.1,-0.2,-0.3,0.4,-0.4,-0.4,-0.3,-0.2,-0.2,-0.4,-0.4,-0.7,-1,-0.9,-0.7,-1.1,-0.8,-0.4,-0.4,-0.4,-0.2,-0.6,-0.7,-0.9,-0.9,-0.5,0,-0.2,-0.6,-0.9,-0.6,-0.5,-0.4,-0.6,-0.1,-0.6,-0.6,-0.4,-0.5,-0.6,-0.9,-0.7,-0.7,-0.3,-0.7,-0.4,-0.4,-0.4,-0.1,-0.5,-0.8,-0.7,-0.4,0.3,0,0,-0.5,-0.4,-0.3,-0.4,-0.1,-0.3,-0.2,-0.3,-0.4,-0.2,0.2,-0.4,-0.4,-0.4,-0.2,-0.2,0,-0.3,-0.2,-0.8,-0.7,-0.3,-0.2,-0.3,0.1,0.2,-0.3,0.2,0.3,0.2,0,-0.4,-0.3,-0.1,-0.2,0,-0.4,-0.3,0.1,0.1,-0.2,-0.4,0.4,0.2,0.2,-0.3,-0.4,-0.7,-0.5,0.1,0.2,-0.2,0.5,0.4,0.3,0.4,0.2,0.2,0,0.3,0.1,0.4,0.5,0.1,0.4,0.5,0.2,0.4,0.2,-0.1,0.6,0.5,0.4,0.2,0.5,0.6,1.2,0.5,0.7,0.9,-37.6
Wallis and Futuna,0,-0.4,-0.1,0.1,-0.1,-0.3,-0.3,-0.4,-0.2,0.1,-0.2,-0.5,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,-0.1,0,-0.2,0.1,0,-0.3,0,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,0.2,0.1,-0.3,-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.5,-0.4,-0.3,-0.6,-0.4,-0.2,-0.4,-0.3,-0.3,-0.2,-0.1,-0.1,-0.6,-0.4,-0.6,-0.5,-0.4,-0.5,-0.6,-0.7,-0.8,-0.6,-0.5,-0.6,-0.4,-0.3,-0.5,-0.9,-0.6,-1,-0.6,-0.5,-0.2,-0.4,-0.2,-0.3,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.3,-0.6,-0.4,-0.4,-0.2,-0.3,-0.4,-0.5,-0.2,0,0,0,0.1,0,0.1,0.1,-0.2,-0.3,-0.3,-0.1,0,0,-0.2,-0.4,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.4,-0.1,-0.3,-0.1,0.2,0,-0.2,-0.1,0,-0.2,-0.3,-0.3,-0.1,0,0,0.1,-0.1,0,-0.3,0,-0.2,-0.1,-0.1,0,-0.1,0.1,0.3,0.1,0,0.2,0.3,0.1,0,-0.2,0.1,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.2,0.4,0.4,0.2,0.4,0.5,0.6,0.4,0.6,0.6,0.5,0.7,0.6,0.4,0.4,0.6,0.7,0.5,-21.5
Grand Total,-2.2,-3.4,-1.5,0.3,-1.7,-6.8,-7.2,-5.7,-6.3,1.3,-5.3,-11.6,-8.1,-5.2,-2.7,-3.1,-3,-3.9,-3.9,-1.2,-4.1,-2.2,-2.4,-6,-2.6,-4.7,-3.9,-5,-2.2,-5,-6.2,-0.5,0.5,-8.5,-11.3,-14.1,-11.1,-7.8,-6.7,-4.6,-8,-4.9,-4.1,-6.2,-6.2,-4.6,-5.4,-1.6,-5.3,-5.4,-0.9,-2.2,-10.9,-9.4,-13.9,-12.7,-9.1,-8.7,-10.7,-13.9,-14.1,-13.9,-11.4,-13.8,-11.1,-7.5,-9.6,-19.1,-13,-17.6,-11.3,-9.7,-6.6,-10.4,-6.8,-9.9,-7.9,-8.3,-8.3,-8.5,-10,-7.6,-8.2,-11.2,-11.1,-8.7,-8.3,-7.9,-8.9,-10,-5.4,-2.5,-2.7,0.6,2.6,1.2,0,-1.7,-6.6,-7.5,-7.1,-4.1,-2.3,-2.1,-5.6,-9,-6.1,-5.4,-3.6,-3.8,-3.4,-3.9,-4.2,-3.7,-5.4,-9.3,-4.2,-6,-3.3,1.3,-0.4,-5.4,-5.4,-0.1,-5.3,-6.9,-6.5,-3.4,-2.7,-2.1,0.3,-1.1,-1.4,-4.6,-0.3,-2.5,-1.5,-1,3.5,-0.9,2.1,2.5,-0.3,-3.4,0.9,5.6,4,0.1,1.2,2.2,3.3,6.3,8.4,8.7,7.7,8.8,7.1,8.2,2.8,7.7,7.8,3.7,6.1,8.9,10.2,7.2,12.9,13.4,11.7,12.3,13.1,9.9,10,12.8,15.9,13.8,-551.7
